Date,Open,High,Low,Close,Adj Close,Volume
2020-03-24,8138458.5,8427214.0,8046722.0,8309872.5,8309872.5,59499568921167
2020-03-25,8314700.5,8467795.0,8056369.5,8224956.5,8224956.5,54894212969227
2020-03-26,8217702.5,8265525.5,8095350.0,8148318.5,8148318.5,42849625689246
2020-03-27,8151895.5,8219523.0,7842428.0,7846183.0,7846183.0,41943338563051
2020-03-28,7843097.5,7843397.5,7419346.5,7570158.0,7570158.0,42306708859187
2020-03-29,7574319.0,7580191.5,7178400.5,7181247.0,7181247.0,34406787272553
2020-03-30,7185485.5,7978742.0,7160623.5,7871669.5,7871669.5,45421325863331
2020-03-31,7872605.5,7955672.5,7801783.5,7840080.5,7840080.5,39922772302235
2020-04-01,7838466.5,8171885.0,7674631.0,8164720.5,8164720.5,49860517527612
2020-04-02,8164720.5,8719607.0,8145068.5,8341552.0,8341552.0,58520124343861
2020-04-03,8346183.5,8660533.0,8272000.0,8327887.0,8327887.0,48206336146515
2020-04-04,8334066.0,8507924.0,8282245.5,8493792.0,8493792.0,41044596610392
2020-04-05,8487621.0,8513441.0,8306295.0,8399269.0,8399269.0,36498474526396
2020-04-06,8395460.0,8901460.0,8389010.0,8901460.0,8901460.0,57406969908180
2020-04-07,8903741.0,8998577.0,8671108.0,8721497.0,8721497.0,53769104707455
2020-04-08,8724983.0,8967016.0,8727391.0,8916430.0,8916430.0,45667519812730
2020-04-09,8921132.0,8913987.0,8737173.0,8839325.0,8839325.0,42144421267622
2020-04-10,8841414.0,8841414.0,8245280.0,8321939.0,8321939.0,52876990479691
2020-04-11,8324299.5,8395366.0,8230334.5,8314169.0,8314169.0,37845539258916
2020-04-12,8312938.5,8630373.0,8255980.0,8449242.0,8449242.0,43342025852401
2020-04-13,8442606.0,8442606.0,8119673.0,8315968.0,8315968.0,46918211882688
2020-04-14,8313834.5,8443792.0,8255512.0,8296170.0,8296170.0,41357536870522
2020-04-15,8299970.0,8409597.0,8116233.5,8126488.5,8126488.5,39504102779914
2020-04-16,8124462.5,8758680.0,8052519.0,8736731.0,8736731.0,57432044567883
2020-04-17,8736422.0,8717158.0,8586070.0,8630806.0,8630806.0,39544776548124
2020-04-18,8626070.0,8842157.0,8622368.0,8827207.0,8827207.0,39464217346267
2020-04-19,8831170.0,8855007.0,8717002.0,8744210.0,8744210.0,38082571565838
2020-04-20,8741107.0,8816285.0,8344406.5,8400463.0,8400463.0,46076014625790
2020-04-21,8397809.0,8527210.0,8425159.0,8475526.0,8475526.0,40145672297835
2020-04-22,8474438.0,8835648.0,8480955.0,8771104.0,8771104.0,40975592972567
2020-04-23,8776155.0,9237745.0,8723533.0,9158622.0,9158622.0,53623415753046
2020-04-24,9164116.0,9320957.0,9164116.0,9292290.0,9292290.0,42624403224743
2020-04-25,9291776.0,9403616.0,9256321.0,9315715.0,9315715.0,40538519735427
2020-04-26,9315964.0,9476351.0,9305220.0,9450076.0,9450076.0,40692823083587
2020-04-27,9449525.0,9525211.0,9449525.0,9525211.0,9525211.0,44185440823481
2020-04-28,9526884.0,9544663.0,9440861.0,9535541.0,9535541.0,40535774280606
2020-04-29,9535119.0,10740766.0,9486522.0,10658849.0,10658849.0,72908892311975
2020-04-30,10654770.0,11370981.0,10365943.0,10511052.0,10511052.0,81291713571858
2020-05-01,10528324.0,11067271.0,10522231.0,10858718.0,10858718.0,53980691284350
2020-05-02,10863974.0,11033174.0,10793307.0,11010401.0,11010401.0,49161815204639
2020-05-03,11004298.0,11229890.0,10817321.0,10897442.0,10897442.0,57689324916743
2020-05-04,10895330.0,10958417.0,10611248.0,10904276.0,10904276.0,55935118491284
2020-05-05,10904494.0,11063305.0,10825877.0,11002202.0,11002202.0,52729577157882
2020-05-06,11007543.0,11567635.0,10973455.0,11396221.0,11396221.0,60704216138862
2020-05-07,11387778.0,12186853.0,11215737.0,12136872.0,12136872.0,74533049605512
2020-05-08,12118144.0,12141645.0,11923374.0,12006084.0,12006084.0,63162156461571
2020-05-09,12003938.0,12092930.0,11686470.0,11702635.0,11702635.0,56801355421787
2020-05-10,11699308.0,11704689.0,10240352.0,10680219.0,10680219.0,77237843207284
2020-05-11,10679127.0,11066725.0,10247827.0,10523523.0,10523523.0,69881006456887
2020-05-12,10534033.0,10964699.0,10486673.0,10800013.0,10800013.0,51694365052058
2020-05-13,10801129.0,11438162.0,10801129.0,11377427.0,11377427.0,55915332485208
2020-05-14,11379072.0,12019311.0,11368977.0,11947754.0,11947754.0,69261771202066
2020-05-15,11948452.0,11975865.0,11422499.0,11503440.0,11503440.0,59388953442058
2020-05-16,11509658.0,11794482.0,11420195.0,11563640.0,11563640.0,44598028286226
2020-05-17,11561070.0,12113628.0,11529767.0,11924892.0,11924892.0,49427488449566
2020-05-18,11931003.0,12188281.0,11813555.0,11917097.0,11917097.0,51247030489783
2020-05-19,11917696.0,12045125.0,11694339.0,11921379.0,11921379.0,48099850859889
2020-05-20,11916835.0,12056367.0,11590583.0,11689746.0,11689746.0,44861607376288
2020-05-21,11689450.0,11741864.0,10932634.0,11202035.0,11202035.0,48507440398869
2020-05-22,11200275.0,11473677.0,11147019.0,11392457.0,11392457.0,36985034497683
2020-05-23,11395540.0,11541242.0,11312473.0,11425595.0,11425595.0,34400855238566
2020-05-24,11429312.0,11523751.0,10901024.0,10904891.0,10904891.0,40341201173148
2020-05-25,10899606.0,11110346.0,10828869.0,11053684.0,11053684.0,38829228928009
2020-05-26,11056975.0,11093301.0,10794941.0,10875597.0,10875597.0,36416950764307
2020-05-27,10878463.0,11399325.0,10881208.0,11369956.0,11369956.0,40546535710579
2020-05-28,11374820.0,11819871.0,11332651.0,11793070.0,11793070.0,42547123857169
2020-05-29,11796295.0,11863401.0,11605900.0,11625131.0,11625131.0,40515176197711
2020-05-30,11624872.0,11951387.0,11535971.0,11946933.0,11946933.0,40301289772229
2020-05-31,11946553.0,11946847.0,11615591.0,11651010.0,11651010.0,34201973803906
2020-06-01,11654146.0,12475649.0,11559961.0,12435179.0,12435179.0,43050366814339
2020-06-02,12429926.0,12397814.0,11519002.0,11627695.0,11627695.0,47752926787878
